Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1711824311.6281126,57,1711824311,624043464,GPS1_Frame,42.33996,-71.140185,46.4,323697.64058263355,4689741.009846448,19,T,0.9,"$GPGGA,184511.000,4220.3976,N,07108.4111,W,1,10,0.9,46.4,M,-33.8,M,,0000*59"
1711824312.622137,58,1711824312,616279363,GPS1_Frame,42.33996,-71.140185,46.4,323697.64058263355,4689741.009846448,19,T,0.9,"$GPGGA,184512.000,4220.3976,N,07108.4111,W,1,10,0.9,46.4,M,-33.8,M,,0000*5A"
1711824313.6464458,59,1711824313,640465974,GPS1_Frame,42.33996,-71.14019,46.1,323697.2286787686,4689741.020214188,19,T,0.9,"$GPGGA,184513.000,4220.3976,N,07108.4114,W,1,10,0.9,46.1,M,-33.8,M,,0000*5B"
1711824316.6218226,60,1711824316,616084575,GPS1_Frame,42.33993,-71.140325,46.7,323686.0234196186,4689737.968869218,19,T,0.9,"$GPGGA,184516.000,4220.3958,N,07108.4195,W,1,10,0.9,46.7,M,-33.8,M,,0000*5D"
1711824317.6508596,61,1711824317,644811153,GPS1_Frame,42.339917,-71.140407,46.8,323679.2318545053,4689736.695358315,19,T,0.9,"$GPGGA,184517.000,4220.3950,N,07108.4244,W,1,10,0.9,46.8,M,-33.8,M,,0000*54"
1711824318.641387,62,1711824318,635750055,GPS1_Frame,42.339908,-71.1405,47.0,323671.5452787901,4689735.888837308,19,T,0.9,"$GPGGA,184518.000,4220.3945,N,07108.4300,W,1,10,0.9,47.0,M,-33.8,M,,0000*57"
1711824321.648805,63,1711824321,643702507,GPS1_Frame,42.33995,-71.14081,46.8,323646.12464054907,4689741.195574166,19,T,0.9,"$GPGGA,184521.000,4220.3970,N,07108.4486,W,1,10,0.9,46.8,M,-33.8,M,,0000*5B"
1711824322.637734,64,1711824322,631937742,GPS1_Frame,42.339985,-71.140905,47.1,323638.39632264856,4689745.27912009,19,T,0.9,"$GPGGA,184522.000,4220.3991,N,07108.4543,W,1,10,0.9,47.1,M,-33.8,M,,0000*57"
1711824323.6288812,65,1711824323,623691082,GPS1_Frame,42.340032,-71.140997,47.5,323630.94870804646,4689750.688965154,19,T,0.9,"$GPGGA,184523.000,4220.4019,N,07108.4598,W,1,10,0.9,47.5,M,-33.8,M,,0000*5A"
1711824326.6371777,66,1711824326,631594896,GPS1_Frame,42.340193,-71.141267,47.3,323609.15614358155,4689769.126958198,19,T,0.9,"$GPGGA,184526.000,4220.4116,N,07108.4760,W,1,10,0.9,47.3,M,-33.8,M,,0000*52"
1711824327.6332488,67,1711824327,627981662,GPS1_Frame,42.340248,-71.141355,47.4,323602.060470417,4689775.416879497,19,T,0.9,"$GPGGA,184527.000,4220.4149,N,07108.4813,W,1,10,0.9,47.4,M,-33.8,M,,0000*55"
1711824328.6206481,68,1711824328,615881681,GPS1_Frame,42.3403,-71.141442,47.4,323595.038800449,4689781.371605303,19,T,0.9,"$GPGGA,184528.000,4220.4180,N,07108.4865,W,1,10,0.9,47.4,M,-33.8,M,,0000*5E"
1711824331.6289575,69,1711824331,623694658,GPS1_Frame,42.340403,-71.141732,47.9,323571.43659608904,4689793.410735641,19,T,0.9,"$GPGGA,184531.000,4220.4242,N,07108.5039,W,1,10,0.9,47.9,M,-33.8,M,,0000*56"
1711824332.6210027,70,1711824332,615982055,GPS1_Frame,42.340428,-71.141828,48.0,323563.5980254017,4689796.386014548,19,T,0.9,"$GPGGA,184532.000,4220.4257,N,07108.5097,W,1,10,0.9,48.0,M,-33.8,M,,0000*53"
1711824333.6461744,71,1711824333,640095233,GPS1_Frame,42.340447,-71.141927,48.0,323555.4955368911,4689798.701271405,19,T,0.9,"$GPGGA,184533.000,4220.4268,N,07108.5156,W,1,10,0.9,48.0,M,-33.8,M,,0000*52"
1711824336.6541288,72,1711824336,648421049,GPS1_Frame,42.340453,-71.142173,47.2,323535.24680662504,4689799.878066183,19,T,0.9,"$GPGGA,184536.000,4220.4272,N,07108.5304,W,1,10,0.9,47.2,M,-33.8,M,,0000*54"
