Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1711824203.6263196,1,1711824203,622157573,GPS1_Frame,42.340187,-71.139948,45.9,323717.79921623296,4689765.725152262,19,T,0.9,"$GPGGA,184323.000,4220.4112,N,07108.3969,W,1,10,0.9,45.9,M,-33.8,M,,0000*5D"
1711824206.6389933,2,1711824206,633169651,GPS1_Frame,42.340187,-71.139948,46.0,323717.79921623296,4689765.725152262,19,T,0.9,"$GPGGA,184326.000,4220.4112,N,07108.3969,W,1,10,0.9,46.0,M,-33.8,M,,0000*52"
1711824207.6285377,3,1711824207,624007225,GPS1_Frame,42.340187,-71.139948,46.0,323717.79921623296,4689765.725152262,19,T,0.9,"$GPGGA,184327.000,4220.4112,N,07108.3969,W,1,10,0.9,46.0,M,-33.8,M,,0000*53"
1711824208.6195023,4,1711824208,613990068,GPS1_Frame,42.340187,-71.139948,46.0,323717.79921623296,4689765.725152262,19,T,0.9,"$GPGGA,184328.000,4220.4112,N,07108.3969,W,1,10,0.9,46.0,M,-33.8,M,,0000*5C"
1711824211.6283472,5,1711824211,623555421,GPS1_Frame,42.340187,-71.139948,46.0,323717.79921623296,4689765.725152262,19,T,0.9,"$GPGGA,184331.000,4220.4112,N,07108.3969,W,1,10,0.9,46.0,M,-33.8,M,,0000*54"
1711824212.6190927,6,1711824212,615337133,GPS1_Frame,42.340185,-71.139948,46.1,323717.793626877,4689765.503066717,19,T,0.9,"$GPGGA,184332.000,4220.4111,N,07108.3969,W,1,10,0.9,46.1,M,-33.8,M,,0000*55"
1711824213.6504116,7,1711824213,643690586,GPS1_Frame,42.340185,-71.139948,46.1,323717.793626877,4689765.503066717,19,T,0.9,"$GPGGA,184333.000,4220.4111,N,07108.3969,W,1,10,0.9,46.1,M,-33.8,M,,0000*54"
1711824216.622421,8,1711824216,616796731,GPS1_Frame,42.340187,-71.139948,46.1,323717.79921623296,4689765.725152262,19,T,0.9,"$GPGGA,184336.000,4220.4112,N,07108.3969,W,1,10,0.9,46.1,M,-33.8,M,,0000*52"
1711824217.643769,9,1711824217,640044689,GPS1_Frame,42.340187,-71.139948,46.1,323717.79921623296,4689765.725152262,19,T,0.9,"$GPGGA,184337.000,4220.4112,N,07108.3969,W,1,10,0.9,46.1,M,-33.8,M,,0000*53"
1711824218.635868,10,1711824218,630386114,GPS1_Frame,42.340187,-71.139948,46.1,323717.79921623296,4689765.725152262,19,T,0.9,"$GPGGA,184338.000,4220.4112,N,07108.3969,W,1,10,0.9,46.1,M,-33.8,M,,0000*5C"
1711824221.6449888,11,1711824221,640614032,GPS1_Frame,42.34017,-71.139927,47.4,323719.48169715784,4689763.793885687,19,T,0.9,"$GPGGA,184341.000,4220.4102,N,07108.3956,W,1,09,0.9,47.4,M,-33.8,M,,0000*53"
1711824222.6372716,12,1711824222,632624626,GPS1_Frame,42.340137,-71.139897,48.0,323721.8608899588,4689760.06727576,19,T,0.9,"$GPGGA,184342.000,4220.4082,N,07108.3938,W,1,09,0.9,48.0,M,-33.8,M,,0000*5A"
1711824223.6285052,13,1711824223,623861789,GPS1_Frame,42.340075,-71.139878,47.6,323723.252856129,4689753.143232079,19,T,0.9,"$GPGGA,184343.000,4220.4045,N,07108.3927,W,1,10,0.9,47.6,M,-33.8,M,,0000*5F"
1711824226.6384306,14,1711824226,632221460,GPS1_Frame,42.339947,-71.139715,46.6,323736.3232187331,4689738.5918311495,19,T,0.9,"$GPGGA,184346.000,4220.3968,N,07108.3829,W,1,10,0.9,46.6,M,-33.8,M,,0000*55"
1711824227.629989,15,1711824227,623879909,GPS1_Frame,42.339988,-71.139633,47.4,323743.19300773396,4689742.974594483,19,T,0.9,"$GPGGA,184347.000,4220.3993,N,07108.3780,W,1,10,0.9,47.4,M,-33.8,M,,0000*5F"
1711824228.6219885,16,1711824228,616447210,GPS1_Frame,42.340058,-71.139597,47.1,323746.3543088656,4689750.672960441,19,T,0.9,"$GPGGA,184348.000,4220.4035,N,07108.3758,W,1,10,0.9,47.1,M,-33.8,M,,0000*52"
1711824231.630552,17,1711824231,624936819,GPS1_Frame,42.340175,-71.139777,46.3,323731.85274395463,4689764.038115927,19,T,0.9,"$GPGGA,184351.000,4220.4105,N,07108.3866,W,1,10,0.9,46.3,M,-33.8,M,,0000*59"
