Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,imu_read
1711824202.804603,1,1711824202,797421455,imu1_frame,1,1711824202,797421455,imu1_frame,0.41286588,-0.22441884,0.85918897,0.20241608,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001587,0.000932,-0.002757,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.238,-0.04,-9.845,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,1711824202,797421455,imu1_frame,-1.231e-05,5.4000000000000005e-05,3.3639999999999996e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.814,-007.211,-000.373,-00.1231,+00.5400,+00.3364,-01.238,-00.040,-09.845,+00.001587,+00.000932,-00.002757*6B"
1711824202.8476748,2,1711824202,841392993,imu1_frame,2,1711824202,841392993,imu1_frame,0.41309009,-0.22400586,0.85939095,0.20155679,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000771,0.000179,-0.000146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.265,-0.157,-9.864,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,1711824202,841392993,imu1_frame,-1.2839999999999999e-05,5.389000000000001e-05,3.299e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.816,-007.211,-000.373,-00.1284,+00.5389,+00.3299,-01.265,-00.157,-09.864,+00.000771,+00.000179,-00.000146*67"
1711824202.8999968,3,1711824202,893364429,imu1_frame,3,1711824202,893364429,imu1_frame,0.41320204,-0.22379929,0.85949162,0.20112707,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000377,-0.000679,-0.000141,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.299,0.031,-9.855,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,1711824202,893364429,imu1_frame,-1.261e-05,5.457e-05,3.261e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.817,-007.211,-000.373,-00.1261,+00.5457,+00.3261,-01.299,+00.031,-09.855,+00.000377,-00.000679,-00.000141*6C"
1711824202.947495,4,1711824202,941280364,imu1_frame,4,1711824202,941280364,imu1_frame,0.41197909,-0.22331384,0.86028955,0.20076369,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.002259,0.004713,-0.0066,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.635,0.413,-10.44,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,1711824202,941280364,imu1_frame,-1.2509999999999999e-05,5.4340000000000005e-05,3.325e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.817,-007.208,-000.372,-00.1251,+00.5434,+00.3325,-01.635,+00.413,-10.440,+00.002259,+00.004713,-00.006600*60"
1711824203.0021975,5,1711824202,993378639,imu1_frame,5,1711824202,993378639,imu1_frame,0.41156076,-0.22374413,0.86049479,0.20026238,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.005078,-0.001391,-0.003515,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.069,0.555,-9.612,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,1711824202,993378639,imu1_frame,-1.2620000000000001e-05,5.423e-05,3.223e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.819,-007.207,-000.374,-00.1262,+00.5423,+00.3223,-01.069,+00.555,-09.612,+00.005078,-00.001391,-00.003515*6E"
1711824203.0521405,6,1711824203,45432806,imu1_frame,6,1711824203,45432806,imu1_frame,0.40815031,-0.22362119,0.86240071,0.19917807,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001176,0.00321,-0.00143,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.111,0.15,-9.741,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,1711824203,45432806,imu1_frame,-1.2720000000000002e-05,5.4579999999999996e-05,3.299e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.821,-007.199,-000.375,-00.1272,+00.5458,+00.3299,-01.111,+00.150,-09.741,+00.001176,+00.003210,-00.001430*67"
1711824203.0997093,7,1711824203,93415498,imu1_frame,7,1711824203,93415498,imu1_frame,0.40149531,-0.22229228,0.86640274,0.19680943,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000891,0.005901,0.000649,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.988,0.174,-9.754,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7,1711824203,93415498,imu1_frame,-1.2509999999999999e-05,5.4340000000000005e-05,3.299e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.824,-007.183,-000.374,-00.1251,+00.5434,+00.3299,-00.988,+00.174,-09.754,+00.000891,+00.005901,+00.000649*6F"
1711824203.1466362,8,1711824203,141799449,imu1_frame,8,1711824203,141799449,imu1_frame,0.39455917,-0.22007674,0.87078329,0.19397359,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00128,0.005089,0.000825,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.003,-0.403,-9.712,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8,1711824203,141799449,imu1_frame,-1.24e-05,5.468e-05,3.337e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.827,-007.166,-000.371,-00.1240,+00.5468,+00.3337,-01.003,-00.403,-09.712,-00.001280,+00.005089,+00.000825*64"
1711824203.200119,9,1711824203,193340778,imu1_frame,9,1711824203,193340778,imu1_frame,0.38649875,-0.2186914,0.87530316,0.19140839,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001038,0.005656,0.001982,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.054,0.02,-9.904,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9,1711824203,193340778,imu1_frame,-1.2509999999999999e-05,5.4340000000000005e-05,3.299e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.830,-007.147,-000.370,-00.1251,+00.5434,+00.3299,-01.054,+00.020,-09.904,+00.001038,+00.005656,+00.001982*6A"
1711824203.2473888,10,1711824203,241351604,imu1_frame,10,1711824203,241351604,imu1_frame,0.37989763,-0.2184545,0.87858121,0.18986966,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000111,0.005429,-0.000627,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.063,-0.032,-9.965,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10,1711824203,241351604,imu1_frame,-1.2509999999999999e-05,5.457e-05,3.299e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+134.832,-007.132,-000.371,-00.1251,+00.5457,+00.3299,-01.063,-00.032,-09.965,+00.000111,+00.005429,-00.000627*6E"
